MonthStart,YearNum,QuarterNum,MonthNum,MonthName,FiscalYear,FiscalQuarter
01/01/2022,2022,1,1,January,2022,3
01/02/2022,2022,1,2,February,2022,3
01/03/2022,2022,1,3,March,2022,3
01/04/2022,2022,2,4,April,2022,4
01/05/2022,2022,2,5,May,2022,4
01/06/2022,2022,2,6,June,2022,4
01/07/2022,2022,3,7,July,2023,1
01/08/2022,2022,3,8,August,2023,1
01/09/2022,2022,3,9,September,2023,1
01/10/2022,2022,4,10,October,2023,2
01/11/2022,2022,4,11,November,2023,2
01/12/2022,2022,4,12,December,2023,2
01/01/2023,2023,1,1,January,2023,3
01/02/2023,2023,1,2,February,2023,3
01/03/2023,2023,1,3,March,2023,3
01/04/2023,2023,2,4,April,2023,4
01/05/2023,2023,2,5,May,2023,4
01/06/2023,2023,2,6,June,2023,4
01/07/2023,2023,3,7,July,2024,1
01/08/2023,2023,3,8,August,2024,1
01/09/2023,2023,3,9,September,2024,1
01/10/2023,2023,4,10,October,2024,2
01/11/2023,2023,4,11,November,2024,2
01/12/2023,2023,4,12,December,2024,2
01/01/2024,2024,1,1,January,2024,3
01/02/2024,2024,1,2,February,2024,3
01/03/2024,2024,1,3,March,2024,3
01/04/2024,2024,2,4,April,2024,4
01/05/2024,2024,2,5,May,2024,4
01/06/2024,2024,2,6,June,2024,4
01/07/2024,2024,3,7,July,2025,1
01/08/2024,2024,3,8,August,2025,1
01/09/2024,2024,3,9,September,2025,1
01/10/2024,2024,4,10,October,2025,2
01/11/2024,2024,4,11,November,2025,2
01/12/2024,2024,4,12,December,2025,2
