MonthStart,DepartmentID,BudgetAmount,Currency
01/01/2022,1,437730,USD
01/01/2022,2,150934,USD
01/01/2022,3,248214,USD
01/01/2022,4,216057,USD
01/01/2022,5,88518,USD
01/01/2022,6,131338,USD
01/02/2022,1,380729,USD
01/02/2022,2,164322,USD
01/02/2022,3,239118,USD
01/02/2022,4,216734,USD
01/02/2022,5,92623,USD
01/02/2022,6,131873,USD
01/03/2022,1,384427,USD
01/03/2022,2,154961,USD
01/03/2022,3,273848,USD
01/03/2022,4,205692,USD
01/03/2022,5,93996,USD
01/03/2022,6,126523,USD
01/04/2022,1,407272,USD
01/04/2022,2,156620,USD
01/04/2022,3,259411,USD
01/04/2022,4,217034,USD
01/04/2022,5,86113,USD
01/04/2022,6,119057,USD
01/05/2022,1,437024,USD
01/05/2022,2,162530,USD
01/05/2022,3,254587,USD
01/05/2022,4,208603,USD
01/05/2022,5,89244,USD
01/05/2022,6,117386,USD
01/06/2022,1,407821,USD
01/06/2022,2,150450,USD
01/06/2022,3,259387,USD
01/06/2022,4,192332,USD
01/06/2022,5,98654,USD
01/06/2022,6,131751,USD
01/07/2022,1,421889,USD
01/07/2022,2,154562,USD
01/07/2022,3,249107,USD
01/07/2022,4,214413,USD
01/07/2022,5,94743,USD
01/07/2022,6,116927,USD
01/08/2022,1,434655,USD
01/08/2022,2,161007,USD
01/08/2022,3,273117,USD
01/08/2022,4,211771,USD
01/08/2022,5,93781,USD
01/08/2022,6,121528,USD
01/09/2022,1,435963,USD
01/09/2022,2,161986,USD
01/09/2022,3,239195,USD
01/09/2022,4,190791,USD
01/09/2022,5,90582,USD
01/09/2022,6,128589,USD
01/10/2022,1,439236,USD
01/10/2022,2,145884,USD
01/10/2022,3,259779,USD
01/10/2022,4,201426,USD
01/10/2022,5,98593,USD
01/10/2022,6,129158,USD
01/11/2022,1,430299,USD
01/11/2022,2,153045,USD
01/11/2022,3,253055,USD
01/11/2022,4,198202,USD
01/11/2022,5,86261,USD
01/11/2022,6,129565,USD
01/12/2022,1,428774,USD
01/12/2022,2,164993,USD
01/12/2022,3,274873,USD
01/12/2022,4,206662,USD
01/12/2022,5,95881,USD
01/12/2022,6,131005,USD
01/01/2023,1,430978,USD
01/01/2023,2,148065,USD
01/01/2023,3,254395,USD
01/01/2023,4,193874,USD
01/01/2023,5,98379,USD
01/01/2023,6,124911,USD
01/02/2023,1,393718,USD
01/02/2023,2,157613,USD
01/02/2023,3,260679,USD
01/02/2023,4,200744,USD
01/02/2023,5,87033,USD
01/02/2023,6,126088,USD
01/03/2023,1,411218,USD
01/03/2023,2,159877,USD
01/03/2023,3,257006,USD
01/03/2023,4,215565,USD
01/03/2023,5,92950,USD
01/03/2023,6,124096,USD
01/04/2023,1,432599,USD
01/04/2023,2,151578,USD
01/04/2023,3,242525,USD
01/04/2023,4,190863,USD
01/04/2023,5,95694,USD
01/04/2023,6,125165,USD
01/05/2023,1,422244,USD
01/05/2023,2,147291,USD
01/05/2023,3,242613,USD
01/05/2023,4,190436,USD
01/05/2023,5,90232,USD
01/05/2023,6,124618,USD
01/06/2023,1,403534,USD
01/06/2023,2,152343,USD
01/06/2023,3,271405,USD
01/06/2023,4,200447,USD
01/06/2023,5,92438,USD
01/06/2023,6,128105,USD
01/07/2023,1,403792,USD
01/07/2023,2,156496,USD
01/07/2023,3,269838,USD
01/07/2023,4,218485,USD
01/07/2023,5,87485,USD
01/07/2023,6,130678,USD
01/08/2023,1,409526,USD
01/08/2023,2,148310,USD
01/08/2023,3,254717,USD
01/08/2023,4,219400,USD
01/08/2023,5,92150,USD
01/08/2023,6,119917,USD
01/09/2023,1,418004,USD
01/09/2023,2,147903,USD
01/09/2023,3,240344,USD
01/09/2023,4,193866,USD
01/09/2023,5,87228,USD
01/09/2023,6,116734,USD
01/10/2023,1,388329,USD
01/10/2023,2,156919,USD
01/10/2023,3,244320,USD
01/10/2023,4,200370,USD
01/10/2023,5,97606,USD
01/10/2023,6,122531,USD
01/11/2023,1,420053,USD
01/11/2023,2,146377,USD
01/11/2023,3,244710,USD
01/11/2023,4,191226,USD
01/11/2023,5,87780,USD
01/11/2023,6,119014,USD
01/12/2023,1,390620,USD
01/12/2023,2,144495,USD
01/12/2023,3,242023,USD
01/12/2023,4,203823,USD
01/12/2023,5,88285,USD
