MonthStart,DepartmentID,ProjectID,AccountCategory,AccountSubCategory,Amount,Currency
01/01/2022,1,4,Revenue,Sales Revenue,331932,USD
01/01/2022,1,4,Expense,Sales Expense,146006,USD
01/01/2022,2,5,Revenue,Sales Revenue,932180,USD
01/01/2022,2,5,Expense,Marketing Expense,115488,USD
01/01/2022,3,3,Expense,R&D Expense,187997,USD
01/01/2022,4,3,Revenue,Sales Revenue,375203,USD
01/01/2022,4,3,Expense,Operations Expense,172286,USD
01/01/2022,5,3,Expense,HR Expense,72658,USD
01/01/2022,6,2,Expense,Finance Expense,118879,USD
01/02/2022,1,2,Revenue,Sales Revenue,991743,USD
01/02/2022,1,2,Expense,Sales Expense,194532,USD
01/02/2022,2,1,Revenue,Sales Revenue,384779,USD
01/02/2022,2,1,Expense,Marketing Expense,137359,USD
01/02/2022,3,5,Expense,R&D Expense,214555,USD
01/02/2022,4,1,Revenue,Sales Revenue,700186,USD
01/02/2022,4,1,Expense,Operations Expense,206053,USD
01/02/2022,5,2,Expense,HR Expense,73493,USD
01/02/2022,6,4,Expense,Finance Expense,104654,USD
01/03/2022,1,3,Revenue,Sales Revenue,791723,USD
01/03/2022,1,3,Expense,Sales Expense,165854,USD
01/03/2022,2,1,Revenue,Sales Revenue,473538,USD
01/03/2022,2,1,Expense,Marketing Expense,149277,USD
01/03/2022,3,5,Expense,R&D Expense,216039,USD
01/03/2022,4,2,Revenue,Sales Revenue,865987,USD
01/03/2022,4,2,Expense,Operations Expense,229838,USD
01/03/2022,5,2,Expense,HR Expense,84333,USD
01/03/2022,6,2,Expense,Finance Expense,93906,USD
01/04/2022,1,4,Revenue,Sales Revenue,451995,USD
01/04/2022,1,4,Expense,Sales Expense,161409,USD
01/04/2022,2,4,Revenue,Sales Revenue,456508,USD
01/04/2022,2,4,Expense,Marketing Expense,147993,USD
01/04/2022,3,3,Expense,R&D Expense,252745,USD
01/04/2022,4,4,Revenue,Sales Revenue,660337,USD
01/04/2022,4,4,Expense,Operations Expense,209701,USD
01/04/2022,5,2,Expense,HR Expense,85604,USD
01/04/2022,6,2,Expense,Finance Expense,112708,USD
01/05/2022,1,5,Revenue,Sales Revenue,638974,USD
01/05/2022,1,5,Expense,Sales Expense,185537,USD
01/05/2022,2,4,Revenue,Sales Revenue,396769,USD
01/05/2022,2,4,Expense,Marketing Expense,126967,USD
01/05/2022,3,4,Expense,R&D Expense,227831,USD
01/05/2022,4,4,Revenue,Sales Revenue,463160,USD
01/05/2022,4,4,Expense,Operations Expense,231204,USD
01/05/2022,5,5,Expense,HR Expense,84437,USD
01/05/2022,6,2,Expense,Finance Expense,111587,USD
01/06/2022,1,2,Revenue,Sales Revenue,919064,USD
01/06/2022,1,2,Expense,Sales Expense,151856,USD
01/06/2022,2,4,Revenue,Sales Revenue,716588,USD
01/06/2022,2,4,Expense,Marketing Expense,114764,USD
01/06/2022,3,5,Expense,R&D Expense,185964,USD
01/06/2022,4,1,Revenue,Sales Revenue,320151,USD
01/06/2022,4,1,Expense,Operations Expense,190431,USD
01/06/2022,5,3,Expense,HR Expense,78362,USD
01/06/2022,6,3,Expense,Finance Expense,121607,USD
01/07/2022,1,3,Revenue,Sales Revenue,500804,USD
01/07/2022,1,3,Expense,Sales Expense,190578,USD
01/07/2022,2,2,Revenue,Sales Revenue,828776,USD
01/07/2022,2,2,Expense,Marketing Expense,151918,USD
01/07/2022,3,1,Expense,R&D Expense,229863,USD
01/07/2022,4,2,Revenue,Sales Revenue,551279,USD
01/07/2022,4,2,Expense,Operations Expense,188698,USD
01/07/2022,5,5,Expense,HR Expense,95347,USD
01/07/2022,6,3,Expense,Finance Expense,112449,USD
01/08/2022,1,3,Revenue,Sales Revenue,339182,USD
01/08/2022,1,3,Expense,Sales Expense,177794,USD
01/08/2022,2,1,Revenue,Sales Revenue,414020,USD
01/08/2022,2,1,Expense,Marketing Expense,134941,USD
01/08/2022,3,3,Expense,R&D Expense,221818,USD
01/08/2022,4,2,Revenue,Sales Revenue,322409,USD
01/08/2022,4,2,Expense,Operations Expense,193632,USD
01/08/2022,5,3,Expense,HR Expense,73005,USD
01/08/2022,6,1,Expense,Finance Expense,102574,USD
01/09/2022,1,4,Revenue,Sales Revenue,611357,USD
01/09/2022,1,4,Expense,Sales Expense,143359,USD
01/09/2022,2,5,Revenue,Sales Revenue,398286,USD
01/09/2022,2,5,Expense,Marketing Expense,144266,USD
01/09/2022,3,4,Expense,R&D Expense,255428,USD
01/09/2022,4,3,Revenue,Sales Revenue,579989,USD
01/09/2022,4,3,Expense,Operations Expense,225393,USD
01/09/2022,5,2,Expense,HR Expense,97859,USD
01/09/2022,6,1,Expense,Finance Expense,94219,USD
01/10/2022,1,4,Revenue,Sales Revenue,967595,USD
01/10/2022,1,4,Expense,Sales Expense,146194,USD
01/10/2022,2,3,Revenue,Sales Revenue,742335,USD
01/10/2022,2,3,Expense,Marketing Expense,146757,USD
01/10/2022,3,4,Expense,R&D Expense,208503,USD
01/10/2022,4,1,Revenue,Sales Revenue,885440,USD
01/10/2022,4,1,Expense,Operations Expense,178411,USD
01/10/2022,5,1,Expense,HR Expense,98176,USD
01/10/2022,6,1,Expense,Finance Expense,102191,USD
01/11/2022,1,3,Revenue,Sales Revenue,950216,USD
01/11/2022,1,3,Expense,Sales Expense,164089,USD
01/11/2022,2,1,Revenue,Sales Revenue,737833,USD
01/11/2022,2,1,Expense,Marketing Expense,124205,USD
01/11/2022,3,3,Expense,R&D Expense,205856,USD
01/11/2022,4,1,Revenue,Sales Revenue,318451,USD
01/11/2022,4,1,Expense,Operations Expense,188181,USD
01/11/2022,5,1,Expense,HR Expense,80125,USD
01/11/2022,6,4,Expense,Finance Expense,100071,USD
01/12/2022,1,2,Revenue,Sales Revenue,682690,USD
01/12/2022,1,2,Expense,Sales Expense,153052,USD
01/12/2022,2,1,Revenue,Sales Revenue,981239,USD
01/12/2022,2,1,Expense,Marketing Expense,109770,USD
01/12/2022,3,1,Expense,R&D Expense,258129,USD
01/12/2022,4,4,Revenue,Sales Revenue,594070,USD
01/12/2022,4,4,Expense,Operations Expense,182062,USD
01/12/2022,5,1,Expense,HR Expense,92299,USD
01/12/2022,6,2,Expense,Finance Expense,111237,USD
01/01/2023,1,2,Revenue,Sales Revenue,435167,USD
01/01/2023,1,2,Expense,Sales Expense,168173,USD
01/01/2023,2,4,Revenue,Sales Revenue,383734,USD
01/01/2023,2,4,Expense,Marketing Expense,144557,USD
01/01/2023,3,3,Expense,R&D Expense,199372,USD
01/01/2023,4,5,Revenue,Sales Revenue,306081,USD
01/01/2023,4,5,Expense,Operations Expense,207614,USD
01/01/2023,5,3,Expense,HR Expense,98125,USD
01/01/2023,6,1,Expense,Finance Expense,96028,USD
01/02/2023,1,3,Revenue,Sales Revenue,251663,USD
01/02/2023,1,3,Expense,Sales Expense,137446,USD
01/02/2023,2,4,Revenue,Sales Revenue,333883,USD
01/02/2023,2,4,Expense,Marketing Expense,140523,USD
01/02/2023,3,3,Expense,R&D Expense,236891,USD
01/02/2023,4,3,Revenue,Sales Revenue,342483,USD
01/02/2023,4,3,Expense,Operations Expense,208452,USD
01/02/2023,5,4,Expense,HR Expense,102096,USD
01/02/2023,6,2,Expense,Finance Expense,123508,USD
01/03/2023,1,3,Revenue,Sales Revenue,208155,USD
01/03/2023,1,3,Expense,Sales Expense,179112,USD
01/03/2023,2,2,Revenue,Sales Revenue,771542,USD
01/03/2023,2,2,Expense,Marketing Expense,133989,USD
01/03/2023,3,2,Expense,R&D Expense,200635,USD
01/03/2023,4,4,Revenue,Sales Revenue,845263,USD
01/03/2023,4,4,Expense,Operations Expense,220839,USD
01/03/2023,5,1,Expense,HR Expense,88532,USD
01/03/2023,6,1,Expense,Finance Expense,99674,USD
01/04/2023,1,4,Revenue,Sales Revenue,317796,USD
01/04/2023,1,4,Expense,Sales Expense,187958,USD
01/04/2023,2,1,Revenue,Sales Revenue,469544,USD
01/04/2023,2,1,Expense,Marketing Expense,124762,USD
01/04/2023,3,3,Expense,R&D Expense,248505,USD
01/04/2023,4,1,Revenue,Sales Revenue,998615,USD
01/04/2023,4,1,Expense,Operations Expense,223266,USD
01/04/2023,5,1,Expense,HR Expense,77172,USD
01/04/2023,6,4,Expense,Finance Expense,113227,USD
01/05/2023,1,1,Revenue,Sales Revenue,937378,USD
01/05/2023,1,1,Expense,Sales Expense,193419,USD
01/05/2023,2,2,Revenue,Sales Revenue,902335,USD
01/05/2023,2,2,Expense,Marketing Expense,122657,USD
01/05/2023,3,2,Expense,R&D Expense,235351,USD
01/05/2023,4,5,Revenue,Sales Revenue,836584,USD
01/05/2023,4,5,Expense,Operations Expense,174666,USD
01/05/2023,5,4,Expense,HR Expense,79591,USD
01/05/2023,6,5,Expense,Finance Expense,97152,USD
01/06/2023,1,3,Revenue,Sales Revenue,810704,USD
01/06/2023,1,3,Expense,Sales Expense,153483,USD
01/06/2023,2,4,Revenue,Sales Revenue,307450,USD
01/06/2023,2,4,Expense,Marketing Expense,125650,USD
01/06/2023,3,5,Expense,R&D Expense,218939,USD
01/06/2023,4,3,Revenue,Sales Revenue,492890,USD
01/06/2023,4,3,Expense,Operations Expense,219226,USD
01/06/2023,5,1,Expense,HR Expense,90460,USD
01/06/2023,6,1,Expense,Finance Expense,97809,USD
01/07/2023,1,5,Revenue,Sales Revenue,929903,USD
01/07/2023,1,5,Expense,Sales Expense,151846,USD
01/07/2023,2,3,Revenue,Sales Revenue,830271,USD
01/07/2023,2,3,Expense,Marketing Expense,116501,USD
01/07/2023,3,4,Expense,R&D Expense,217595,USD
01/07/2023,4,5,Revenue,Sales Revenue,378274,USD
01/07/2023,4,5,Expense,Operations Expense,215835,USD
01/07/2023,5,5,Expense,HR Expense,101706,USD
01/07/2023,6,1,Expense,Finance Expense,112110,USD
01/08/2023,1,3,Revenue,Sales Revenue,659451,USD
01/08/2023,1,3,Expense,Sales Expense,186180,USD
01/08/2023,2,5,Revenue,Sales Revenue,577812,USD
